qtl name	version	associated genes
Al tolerance 1-1	Gmax_275_v2.0 	Glyma.08g267700,Glyma.08g267800,Glyma.08g267900,Glyma.08g268000,Glyma.08g268100,Glyma.08g268200,Glyma.08g268300,Glyma.08g268400
Al tolerance 1-2	Gmax_275_v2.0 	Glyma.11g064400,Glyma.11g064500,Glyma.11g064600,Glyma.11g064700,Glyma.11g064800,Glyma.11g064900,Glyma.11g065000,Glyma.11g065100,Glyma.11g065200,Glyma.11g065300,Glyma.11g065400,Glyma.11g065500,Glyma.11g065600,Glyma.11g065700,Glyma.11g065800,Glyma.11g065900,Glyma.11g066000,Glyma.11g066100,Glyma.11g066200,Glyma.11g066300,Glyma.11g066400,Glyma.11g066500,Glyma.11g066600,Glyma.11g066700,Glyma.11g066800,Glyma.11g066900,Glyma.11g067000,Glyma.11g067100,Glyma.11g067200,Glyma.11g067300,Glyma.11g067400,Glyma.11g067500,Glyma.11g067600,Glyma.11g067700,Glyma.11g067800,Glyma.11g067900,Glyma.11g068000,Glyma.11g068100,Glyma.11g068200,Glyma.11g068300,Glyma.11g068400,Glyma.11g068500,Glyma.11g068600,Glyma.11g068700,Glyma.11g068800,Glyma.11g068900,Glyma.11g069000,Glyma.11g069100,Glyma.11g069200,Glyma.11g069300,Glyma.11g069400,Glyma.11g069500,Glyma.11g069600,Glyma.11g069700,Glyma.11g069800,Glyma.11g069900,Glyma.11g070000,Glyma.11g070100,Glyma.11g070200,Glyma.11g070300,Glyma.11g070400,Glyma.11g070500,Glyma.11g070600,Glyma.11g070700,Glyma.11g070800,Glyma.11g070900,Glyma.11g071000,Glyma.11g071100,Glyma.11g071200,Glyma.11g071300,Glyma.11g071400,Glyma.11g071500,Glyma.11g071600,Glyma.11g071700,Glyma.11g071800s
Al tolerance 1-3	Gmax_275_v2.0 	Glyma.11g130900,Glyma.11g131000,Glyma.11g131100,Glyma.11g131200,Glyma.11g131300,Glyma.11g131400,Glyma.11g131500,Glyma.11g131600,Glyma.11g131700,Glyma.11g131800,Glyma.11g131900,Glyma.11g132000,Glyma.11g132100,Glyma.11g132200,Glyma.11g132300,Glyma.11g132400,Glyma.11g132500,Glyma.11g132600,Glyma.11g132700,Glyma.11g132800,Glyma.11g132900,Glyma.11g133000,Glyma.11g133100,Glyma.11g133200,Glyma.11g133300,Glyma.11g133400,Glyma.11g133500,Glyma.11g133600,Glyma.11g133700,Glyma.11g133800,Glyma.11g133900,Glyma.11g134000,Glyma.11g134100,Glyma.11g134200,Glyma.11g134300,Glyma.11g134400,Glyma.11g134500,Glyma.11g134600,Glyma.11g134700,Glyma.11g134800,Glyma.11g134900,Glyma.11g135000,Glyma.11g135100,Glyma.11g135200,Glyma.11g135300,Glyma.11g135400,Glyma.11g135500,Glyma.11g135600,Glyma.11g135700,Glyma.11g135800,Glyma.11g135900,Glyma.11g136000,Glyma.11g136100,Glyma.11g136200,Glyma.11g136300,Glyma.11g136400,Glyma.11g136500,Glyma.11g136600,Glyma.11g136700,Glyma.11g136800,Glyma.11g136900,Glyma.11g137000,Glyma.11g137100,Glyma.11g137200,Glyma.11g137300,Glyma.11g137400,Glyma.11g137500,Glyma.11g137600,Glyma.11g137700,Glyma.11g137800,Glyma.11g137900
