category name	category	list name	qtl name
Test1_Leaf QTL	Ò¶Æ¬	Carbon Isotope Discrimination|Light energy absorbed per reaction center (ABS/RC)|Probability a trapped excitation moves an electron beyond Qa- (ETo/TRo)|Performance index on absorption basis (PIabs)|Probability an electron reduces an end acceptor at PSI electron acceptor side|Flux ratio of trapping per absorption (TRo/ABS)|Hypocotyl Length|Specific leaflet nitrogen content|Leaf phosphorus content|Leaflet area|Specific leaflet area|Leaflet ash content|Chlorophyll content|Leaflet chlorophyll content|Leaflet Length|Leaflet shape|Leaflet trigonelline content|Specific leaflet weight|Leaflet Width|Net photosynthetic rate	Carbon isotope discrimination 1-2|Carbon isotope discrimination 1-3|Carbon isotope discrimination 1-4|Carbon isotope discrimination 1-5|Chlorophyll flourescence ABS/RC 1-1|Chlorophyll flourescence ABS/RC 1-2|Chlorophyll flourescence ETo/TRo 1-1|Chlorophyll flourescence ETo/TRo 1-2|Chlorophyll flourescence ETo/TRo 1-3|Chlorophyll flourescence PIabs 1-1|Chlorophyll flourescence PIabs 1-2|Chlorophyll flourescence PIabs 1-3|Chlorophyll flourescence REo/Eto 1-1|Chlorophyll flourescence REo/Eto 1-2|Chlorophyll flourescence TRo/ABS 1-1|Chlorophyll flourescence TRo/ABS 1-2|Chlorophyll flourescence TRo/ABS 1-3|Hypocotyl length 1-1|Hypocotyl length 1-2|Hypocotyl length 1-3|Hypocotyl length 2-1|Hypocotyl length 2-2|Hypocotyl length 3-1|Leaflet N, specific 1-1|Leaflet P 1-1|Leaflet P 1-2|Leaflet area 1-1|Leaflet area 1-2|Leaflet area 1-3|Leaflet area 1-4|Leaflet area 1-5|Leaflet area 1-6|Leaflet area 2-1|Leaflet area 2-2|Leaflet area 2-3|Leaflet area 3-1|Leaflet area 3-2|Leaflet area 3-3|Leaflet area 3-4|Leaflet area 4-1|Leaflet area 4-2|Leaflet area 4-3|Leaflet area 4-4|Leaflet area 5-1|Leaflet area 6-1|Leaflet area 6-2|Leaflet area 6-3|Leaflet area 7-1|Leaflet area 7-2|Leaflet area 8-1|Leaflet area 8-2|Leaflet area 9-1|Leaflet area 9-10|Leaflet area 9-2|Leaflet area 9-3|Leaflet area 9-4|Leaflet area 9-5|Leaflet area 9-6|Leaflet area 9-7|Leaflet area 9-8|Leaflet area 9-9|Leaflet area, specific 2-1|Leaflet ash 1-1|Leaflet ash 1-10|Leaflet ash 1-11|Leaflet ash 1-2|Leaflet ash 1-3|Leaflet ash 1-4|Leaflet ash 1-5|Leaflet ash 1-7|Leaflet ash 1-8|Leaflet ash 1-9|Leaflet chlorophyll 1-1|Leaflet chlorophyll 1-10|Leaflet chlorophyll 1-11|Leaflet chlorophyll 1-12|Leaflet chlorophyll 1-13|Leaflet chlorophyll 1-14|Leaflet chlorophyll 1-15|Leaflet chlorophyll 1-16|Leaflet chlorophyll 1-2|Leaflet chlorophyll 1-3|Leaflet chlorophyll 1-4|Leaflet chlorophyll 1-5|Leaflet chlorophyll 1-6|Leaflet chlorophyll 1-7|Leaflet chlorophyll 1-8|Leaflet chlorophyll 1-9|Leaflet chlorophyll 2-1|Leaflet length 1-1|Leaflet length 1-2|Leaflet length 10-1|Leaflet length 10-2|Leaflet length 10-3|Leaflet length 10-4|Leaflet length 2-1|Leaflet length 2-2|Leaflet length 2-3|Leaflet length 3-1|Leaflet length 3-2|Leaflet length 3-3|Leaflet length 4-1|Leaflet length 4-2|Leaflet length 4-3|Leaflet length 5-2|Leaflet length 5-3|Leaflet length 5-4|Leaflet length 6-1|Leaflet length 6-2|Leaflet length 6-3|Leaflet length 6-4|Leaflet length 7-1|Leaflet length 7-10|Leaflet length 7-11|Leaflet length 7-12|Leaflet length 7-2|Leaflet length 7-3|Leaflet length 7-4|Leaflet length 7-5|Leaflet length 7-6|Leaflet length 7-7|Leaflet length 7-8|Leaflet length 7-9|Leaflet length 8-1|Leaflet length 8-10|Leaflet length 8-11|Leaflet length 8-12|Leaflet length 8-13|Leaflet length 8-14|Leaflet length 8-15|Leaflet length 8-2|Leaflet length 8-3|Leaflet length 8-4|Leaflet length 8-5|Leaflet length 8-7|Leaflet length 8-8|Leaflet length 8-9|Leaflet length 9-1|Leaflet length 9-10|Leaflet length 9-11|Leaflet length 9-12|Leaflet length 9-13|Leaflet length 9-14|Leaflet length 9-15|Leaflet length 9-2|Leaflet length 9-3|Leaflet length 9-4|Leaflet length 9-5|Leaflet length 9-6|Leaflet length 9-8|Leaflet length 9-9|Leaflet shape 1-1|Leaflet shape 1-2|Leaflet shape 1-3|Leaflet shape 10-1|Leaflet shape 10-2|Leaflet shape 10-3|Leaflet shape 10-4|Leaflet shape 10-5|Leaflet shape 10-6|Leaflet shape 10-7|Leaflet shape 2-1|Leaflet shape 4-1|Leaflet shape 4-2|Leaflet shape 5-1|Leaflet shape 6-1|Leaflet shape 6-10|Leaflet shape 6-11|Leaflet shape 6-12|Leaflet shape 6-14|Leaflet shape 6-15|Leaflet shape 6-16|Leaflet shape 6-17|Leaflet shape 6-18|Leaflet shape 6-19|Leaflet shape 6-2|Leaflet shape 6-20|Leaflet shape 6-21|Leaflet shape 6-3|Leaflet shape 6-4|Leaflet shape 6-5|Leaflet shape 6-6|Leaflet shape 6-7|Leaflet shape 6-8|Leaflet shape 6-9|Leaflet shape 7-1|Leaflet shape 7-10|Leaflet shape 7-11|Leaflet shape 7-12|Leaflet shape 7-13|Leaflet shape 7-14|Leaflet shape 7-15|Leaflet shape 7-16|Leaflet shape 7-2|Leaflet shape 7-3|Leaflet shape 7-4|Leaflet shape 7-5|Leaflet shape 7-6|Leaflet shape 7-7|Leaflet shape 7-8|Leaflet shape 7-9|Leaflet shape 8-1|Leaflet shape 8-10|Leaflet shape 8-2|Leaflet shape 8-3|Leaflet shape 8-4|Leaflet shape 8-5|Leaflet shape 8-6|Leaflet shape 8-7|Leaflet shape 8-8|Leaflet shape 8-9|Leaflet shape 9-1|Leaflet shape 9-2|Leaflet shape 9-3|Leaflet shape 9-4|Leaflet shape 9-6|Leaflet shape 9-7|Leaflet shape 9-8|Leaflet trigonelline, dry 1-1|Leaflet trigonelline, dry 1-2|Leaflet trigonelline, fresh 1-1|Leaflet trigonelline, fresh 1-2|Leaflet weight, specific 1-1|Leaflet weight, specific 1-2|Leaflet weight, specific 1-3|Leaflet weight, specific 1-4|Leaflet weight, specific 1-5|Leaflet weight, specific 2-1|Leaflet weight, specific 2-2|Leaflet weight, specific 2-3|Leaflet weight, specific 2-4|Leaflet weight, specific 2-5|Leaflet weight, specific 2-6|Leaflet weight, specific 2-7|Leaflet weight, specific 2-8|Leaflet weight, specific 2-9|Leaflet width 1-1|Leaflet width 1-2|Leaflet width 1-3|Leaflet width 10-1|Leaflet width 10-2|Leaflet width 10-3|Leaflet width 2-1|Leaflet width 2-2|Leaflet width 2-3|Leaflet width 3-1|Leaflet width 3-2|Leaflet width 3-3|Leaflet width 4-1|Leaflet width 4-2|Leaflet width 5-1|Leaflet width 5-2|Leaflet width 5-3|Leaflet width 5-4|Leaflet width 6-1|Leaflet width 6-10|Leaflet width 6-2|Leaflet width 6-3|Leaflet width 6-4|Leaflet width 6-5|Leaflet width 6-6|Leaflet width 6-7|Leaflet width 6-8|Leaflet width 6-9|Leaflet width 7-1|Leaflet width 7-10|Leaflet width 7-11|Leaflet width 7-2|Leaflet width 7-3|Leaflet width 7-4|Leaflet width 7-5|Leaflet width 7-6|Leaflet width 7-7|Leaflet width 7-8|Leaflet width 7-9|Leaflet width 8-1|Leaflet width 8-10|Leaflet width 8-11|Leaflet width 8-12|Leaflet width 8-13|Leaflet width 8-14|Leaflet width 8-15|Leaflet width 8-2|Leaflet width 8-3|Leaflet width 8-4|Leaflet width 8-5|Leaflet width 8-6|Leaflet width 8-8|Leaflet width 8-9|Leaflet width 9-1|Leaflet width 9-2|Leaflet width 9-3|Leaflet width 9-5|Leaflet width 9-6|Leaflet width 9-7|Net photosyn rate 1-1|Net photosyn rate 2-1|Carbon isotope discrimination|Chlorophyll flourescence ABS/RC|Chlorophyll flourescence ETo/TRo|Chlorophyll flourescence PIabs|Chlorophyll flourescence REo/Eto|Chlorophyll flourescence TRo/ABS|Hypocotyl length|Leaflet N, specific|Leaflet P|Leaflet area|Leaflet area, specific|Leaflet ash|Leaflet chlorophyll|Leaflet length|Leaflet shape|Leaflet trigonelline, dry|Leaflet trigonelline, fresh|Leaflet weight, specific|Leaflet width|Net photosyn rate
Test2_Root QTL	¸ù	Root nodule number|Node Number|Root phosphorus content|Root Surface Area|Lateral root number|Primary Root Length|Root Morphology|Root nodule weight, dry|Root dry weight to shoot dry weight ratio|Root volume|Root Weight|Root weight, dry|Root weight, fresh|Primary Root Size	Nodule number 1-1|Nodule number 1-2|Nodule number 1-3|Nodule number 2-1|Nodule number 2-10|Nodule number 2-2|Nodule number 2-3|Nodule number 2-4|Nodule number 2-5|Nodule number 2-6|Nodule number 2-7|Nodule number 2-8|Nodule number 2-9|Root P 1-1|Root P 1-2|Root area 1-1|Root area 1-2|Root area 1-3|Root density, lateral 1-1|Root density, lateral 2-1|Root density, lateral 2-2|Root density, lateral 2-3|Root density, lateral 2-4|Root density, lateral 3-1|Root length, primary 1-1|Root length, primary 1-2|Root length, primary 1-3|Root length, primary 2-1|Root length, primary 2-3|Root length, primary 3-1|Root length, primary 3-2|Root length, primary 3-3|Root length, primary 3-4|Root length, primary 3-5|Root length, primary 4-1|Root length, primary 5-1|Root morphology 1-1|Root morphology 1-2|Root morphology 1-3|Root morphology 1-4|Root morphology 1-5|Root nodule weight, dry 1-1|Root nodule weight, dry 2-1|Root nodule weight, dry 2-2|Root nodule weight, dry 2-3|Root nodule weight, dry 2-4|Root nodule weight, dry 2-5|Root nodule weight, dry 2-6|Root nodule weight, dry 2-7|Root nodule weight, dry 2-8|Root nodule weight, dry 2-9|Root to Shoot weight ratio 1-1|Root to Shoot weight ratio 2-1|Root to Shoot weight ratio 2-2|Root volume 1-1|Root volume 1-2|Root volume 1-3|Root weight 1-1|Root weight 1-2|Root weight 1-3|Root weight 3-1|Root weight, dry 1-1|Root weight, dry 1-2|Root weight, dry 2-1|Root weight, dry 2-2|Root weight, dry 2-3|Root weight, fresh 1-1|Root weight, fresh 1-2|Root width, primary 1-1|Root width, primary 2-1|Nodule number|Root P|Root area|Root density, lateral|Root length, primary|Root morphology|Root nodule weight, dry|Root to Shoot weight ratio|Root volume|Root weight|Root weight, dry|Root weight, fresh|Root width, primary
Test3_Flower QTL	»¨	Flower form|Flower Number|First flower	Flower form 1-1|Flower form 1-2|Flower form 1-3|Flower form 1-4|Flower number 1-1|Flower number 1-10|Flower number 1-11|Flower number 1-12|Flower number 1-2|Flower number 1-3|Flower number 1-4|Flower number 1-5|Flower number 1-6|Flower number 1-7|Flower number 1-8|First flower 1-1|First flower 1-2|First flower 1-3|First flower 10-1|First flower 10-2|First flower 11-1|First flower 11-2|First flower 11-3|First flower 11-4|First flower 12-1|First flower 12-2|First flower 12-3|First flower 13-1|First flower 13-10|First flower 13-2|First flower 13-3|First flower 13-4|First flower 13-5|First flower 13-6|First flower 13-7|First flower 13-8|First flower 13-9|First flower 15-1|First flower 15-2|First flower 16-1|First flower 16-2|First flower 16-3|First flower 16-4|First flower 18-1|First flower 18-2|First flower 2-1|First flower 2-2|First flower 2-3|First flower 20-1|First flower 20-2|First flower 20-3|First flower 21-1|First flower 21-2|First flower 21-3|First flower 21-4|First flower 22-1|First flower 22-2|First flower 22-3|First flower 23-1|First flower 24-1|First flower 24-2|First flower 24-3|First flower 24-4|First flower 25-1|First flower 25-2|First flower 25-3|First flower 25-4|First flower 26-1|First flower 26-10|First flower 26-11|First flower 26-12|First flower 26-13|First flower 26-14|First flower 26-15|First flower 26-16|First flower 26-17|First flower 26-18|First flower 26-2|First flower 26-3|First flower 26-4|First flower 26-5|First flower 26-6|First flower 26-7|First flower 26-8|First flower 26-9|First flower 3-1|First flower 3-2|First flower 3-3|First flower 3-4|First flower 4-1|First flower 4-2|First flower 4-3|First flower 4-4|First flower 5-1|First flower 5-2|First flower 5-3|First flower 6-1|First flower 6-2|First flower 6-3|First flower 7-1|First flower 8-1|First flower 8-2|First flower 8-3|First flower 8-4|First flower 9-1|First flower 9-2|First flower 9-3|Flower form|Flower number|First flower
